Seti River,,Nepal,"The Seti River Camp is set in the remote and beautiful Seti Valley. The only way to get to this river camp is by 2 and half hours rafting trip, on a grade to river rapid suitable for any age groups.",1,84.379055497,27.870817661,1,1
Birethanti,,Nepal,"Birethanti (1,100m) is a small village set at the foot of the Modi Khola Valley. A wander round it will reveal the lives of the local people and you may well see the mule trains being driven from here up the valley, supplying less well connected villages with goods.",1,83.985567397,28.209592537,1,1
Ghandruk,,Nepal,"Ghandruk (2,000m) is a mountain village set in the Modi Khola Valley. The village was once a major recruitment centre for the famous Gurkha soldiers and is the hub of the Annapurna Conservation Area Project, which promotes many varied ecological projects. Take some time to visit the Gurung museum, a tiny exhibit in an old traditional house made of stone slabs where you can learn about the history and the local way of life.",1,83.805041311,28.378544561,1,1
Landruk,,Nepal,"Landruk (1,500m) is a little village situated on a mountain's flank, in the middle of terraced rice fields. From here you have spectacular views over the surrounding countryside and the immense snowy peaks beyond. You can stop off at one of the village's tea shops to admire the view whilst sipping a cup of chai.",1,83.826540569,28.370484642,1,1
Majgaon,,Nepal,"Majgaun (1,400m) is a scenic village surrounded by the immense Annapurna's range. Even if the climb to this Gurung – or Gurkha – village doesn’t leave you breathless, the views of the Machhapuchhre Mountain certainly will.",1,83.795138611,28.314690627,1,1
Phakding,,Nepal,"Phakding (2,610m) is a small village in the Khumbu region of Nepal and is one of the main stopping point for trekkers on their way to Mount Everest. It lies in the Dudh Kosi river valley just north of Lukla, at an altitude of 2,610 m. Phakding is one of the UNESCO World Heritage Site since 1979.",1,86.711690397,27.735497098,1,1
Namche Bazaar,,Nepal,"Namche Bazaar (3,500 m) is situated on the slope of an arch-shaped mountain, with amazing views of giant Himalayan peaks from anywhere in the valley. Once a major trading center of the Khumbu region, Sherpas from neighboring villages and traders from Tibet would gather to barter goods displaying exotic traditional arts and crafts. Despite its prosperity, Namche Bazaar still retains its ancient culture, traditions and hospitality.",2,86.712869899,27.804645512,1,1
Thame,,Nepal,"Thame (3,750m) is a very traditional and pretty village, and as it is not on the main Lukla to Everest trail it receives less visitors than many other villages in the area. It was the home of Tenzing Norgay, who was (with Sir Edmund Hillary) one of the first men to climb Mount Everest. Thame is also home of the famous Nepalese mountaineers Ang Rita Sherpa (who summited Everest at least 11 times) and Appa Sherpa (who summited Everest at least 18 times, a world record).",2,86.647597669,27.829757782,1,1
Kongde,,Nepal,"Kongde (4,250m) is a phenomenal trekking destination that is off-the-beaten-path. It is perched high on a ridgeline with incredible panoramic views that few trekkers get to see. In fact, this new trail was built specifically for the Yeti Mountain Home Lodge, the highest lodge in the world. ",2,86.699994269,27.780030998,1,1
Nuwakot,,Nepal,Nuwakot is a small village a short drive north-west of Kathmandu. The village is very un-commercial and well worth visiting as it provides the chance to get away from the tourist trails and witness Nepal's rural authenticity in all its charm.,2,85.164772811,27.921285502,1,1
Damauli,,Nepal,Damauli is a small village that lies on the Prithivi Highway between Mugling to Pokhara. The Madi River Bridge at Damauli  is the put-in point for the Seti river rafting trip.  ,0,84.261188028,27.979752543,0,1
Gaighat,,Nepal,Gaighat is the end point of the 2-day Seti River Rafting trip. ,0,86.63964067,26.777118545,0,1
Jomsom,,Nepal,Jomsom is best known for its airport that offers a quick entry or exit to the valley with regular daily flights from Pokhara. The strong winds that blow up the valley prevents flights from taking off from Jomsom after 11 a.m. Jomsom can also be considered a place to use as a base for exploring the upper part of the Kali Gandaki region. ,3,83.733551257,28.783358779,1,1
Balthali,,Nepal,"Balthali is a small village, situated on the edge of the Kathmandu Valley rim. It is surrounded by small farming villages, along with lush green forests, ancient temples, and terraced farmland. There are amazing views of the stunning snowy peaks visible in the distance.",1,85.543241469,27.551845546,1,1
Phulbari,,Nepal,"Phulbari (1,800m) is a quaint village close to Dhulikhel which houses the small but famous Namo Buddha stupa. It is one of the most important Buddhist pilgrimage sites in Nepal, as it is known as the place where the Buddha, in a previous life as a prince, gave his body to a starving tigress and her cubs,an act which is said to have contributed to his ability to achieve enlightenment .  A short walk above the stupa is the newly built Tibetan Buddhist monastery perched on the hilltop.",1,85.589909597,27.580742454,1,1
Pharping,,Nepal,"Pharping is a small Newar town, on the southern edge of the Kathmandu valley, surrounded by terraced farmland. There is a Buddhist monastery and an important Buddhist meditation cave located just behind the town’s.meditation center. Pharping is also close to the famous Dakshinkali Temple, where animals are ritually sacrificed to the goddess Kali.",2,85.27568574,27.617238657,1,1
