Orissa,Temples and beaches,"The state of Orissa is not widely visited by foreign tourists, despite having many attractions: These include the Sun temple at Konarak, outstanding temple architecture in Bhubaneswar and Puri, and the serenely beautiful Chilika lake, Asia's largest saltwater body.     Add to this the long sandy beach at Puri, with its distinctive green/blue waters, and you will find Orissa an unusual but worthwhile destination.    ",24
Pondicherry,The French Connection,"The Union Territory of Pondicherry comprises four coastal regions: Pondicherry and Karaikal, situated on the east coast of Tamil Nadu, Yanam in Andra Pradesh and Mahe on the west coast of Kerala. Pondicherry is the capital of this Union Territory.    Pondicherry has a unique ambience, unlike any place else in India. It is a blend of spiritual aura, French colonial heritage, Tamil culture, and the cosmopolitan flair of hosting many nationalities in a small but varied town.",25
Punjab,Bread basket of the nation,"Punjab is known as ""the bread basket of the nation"" as it is the largest single provider of wheat to India.      Punjab is the home state of the Sikhs. Recognisable by their characteristic turbans and full beards, the Sikhs are India's most distinctive minority and are fiercely independent and take pride in who they are.     Punjab's major attraction is the Golden Temple at Amritsar, the holiest shrine of the Sikhs.",26
Rajasthan,Amongst the Maharajas,"Overflowing with monuments and heritage buildings, many of which are now open to guests, Rajasthan offers the most interesting accommodation options: historical forts, elegant palaces, traditional mud huts, desert tents, and wonderful home stays.     In many of these castles, palaces and mansions, the erstwhile royal families still keep their residence, allowing a more personal insight into the living history that is all around you.   ",27
Sikkim,One of the last Himalayan `Shangri las',"Sikkim is one of India's smallest but most beautiful states, situated in the far north-east of the subcontinent. It is considered to be still one of the last Himalayan `Shangri-las' as a result of its remoteness, spectacular mountain terrain, hundreds of varieties of orchids, and ancient Buddhist monasteries.      Kanchenjunga, the third highest peak in the world, is an awesome presence on the western boundary. Kanchenjunga is worshipped as a god who is the presiding deity of Sikkim.  ",28
Tamil Nadu,The temple trail,"Tamil Nadu has all that a visitor could look for. A dramatic coastline, beautiful beaches and dense forests. Apart from this, Tamil Nadu has also some of India's most magnificent temples, many still active centres of religious practice.     The magnificent temples and their towering gopurams (entrance towers) dominate the landscape just as Hindu religion permeates Tamil life.     ",29
Tripura,India's second smallest state,"Tiny Tripura, almost surrounded by Bangladesh, is the second smallest state in India. Heavily forested, it's renowned for its vast array of bamboo products. Handloom weaving is also a significant industry there.     Agartala, the state capital, is a laid-back city from where there are convenient day trips to the former royal capital of Udaipur, 52 km to the north of Agartala, and the fairy-tale water palace at Neermahal, 55 km south of Agartala.     ",30
Telengana,A new state in south India,NULL,37
Uttar Pradesh,The Hindi heartland,"The northern state of Uttar Pradesh, popularly know as UP, is India's most populous state. It is the heartland of Hindi, the principal indigenous language of India, and the official language of government.    The plains of Uttar Pradesh have always been a fertile land, nourished by the Ganges and its tributaries. Here you find the famous Taj Mahal and other great monuments of the Moghul era in India, as well as the holy Hindu city of Varanasi and the Buddhist stupas of Sarnath.    ",31
Uttaranchal,The foothills of the Himalayas,"In the year 2000 the northern state of Uttaranchal was carved out of the hill areas of Uttar Pradesh. It is a small state filled to the brim with religious sites, wildlife reserves and cool hills that invite escape.     You can visit temples, ashrams and yoga centres at the holy cities of Haridwar and Rishikesh, float on a rubber raft along the Ganges, go on wildlife safaris in Corbett National Park, and follow trekking trails or relax in picturesque hill stations like Nainital and Ramgarh or Dehra Dun and Mussoorie.",35
West Bengal,From the Bay of Bengal to the Himalayan hills,"West Bengal is unique among Indian states as it stretches from the sea to the mountains.     To the south, the capital Kolkata dominates the political, economic and cultural life of much of eastern India.     The northern foothills of West Bengal's Himalaya are one of the greatest tea growing areas in the world. Here you find Raj-era hill stations such as the picturesque towns of Darjeeling and Kalimpong.  ",32
