India,Rajasthan,Jaipur,,,Hotel Arya Niwas,Sansar Chandra Road  Behind Amber Tower,Jaipur,302 001,"407 3456, 407 3457",tarun@aryaniwas.com  reservation@aryaniwas.com  info@aryaniwas.com,www.aryaniwas.com,,141,13,,ST,3
India,Rajasthan,Jaipur,,,Hotel Arya Niwas,Sansar Chandra Road  Behind Amber Tower,Jaipur,302 001,"407 3456, 407 3457",tarun@aryaniwas.com  reservation@aryaniwas.com  info@aryaniwas.com,www.aryaniwas.com,,141,13,,RIK,
India,Rajasthan,Jaisalmer,,,Mandir Palace Hotel,Mandir Palace    ,Jaisalmer ,345 001,"252 788, 252 951",info@mandirpalace.com  shiv@mandirpalace.com,www.mandirpalace.com,,2992,13,,H,
India,Rajasthan,Jaisalmer,,,Mandir Palace Hotel,Mandir Palace    ,Jaisalmer ,345 001,"252 788, 252 951",info@mandirpalace.com  shiv@mandirpalace.com,www.mandirpalace.com,,2992,13,,RIK,
India,Rajasthan,Jaisalmer,,,Mandir Palace Hotel,Mandir Palace    ,Jaisalmer ,345 001,"252 788, 252 951",info@mandirpalace.com  shiv@mandirpalace.com,www.mandirpalace.com,,2992,13,,ST,2
India,Rajasthan,Jodhpur,,,Ajit Bhawan,Near Circuit House,Jodhpur,342 006,"251 3333, 251 0410, 251 1410, 2510610, 2510766",reservations@ajitbhawan.com  reservations1@ajitbhawan.com  sales2@ajitbhawan.com  sales@ajitbhawan.com  delhisales@ajitbhawan.com  crs@ajitbhawan.com,www.ajitbhawan.com,,291,13,,H,
India,Rajasthan,Jodhpur,,,Ajit Bhawan,Near Circuit House,Jodhpur,342 006,"251 3333, 251 0410, 251 1410, 2510610, 2510766",reservations@ajitbhawan.com  reservations1@ajitbhawan.com  sales2@ajitbhawan.com  sales@ajitbhawan.com  delhisales@ajitbhawan.com  crs@ajitbhawan.com,www.ajitbhawan.com,,291,13,,HH,
India,Rajasthan,Jodhpur,,,Ajit Bhawan,Near Circuit House,Jodhpur,342 006,"251 3333, 251 0410, 251 1410, 2510610, 2510766",reservations@ajitbhawan.com  reservations1@ajitbhawan.com  sales2@ajitbhawan.com  sales@ajitbhawan.com  delhisales@ajitbhawan.com  crs@ajitbhawan.com,www.ajitbhawan.com,,291,13,,COM,1
India,Rajasthan,Jodhpur,,,Ajit Bhawan,Near Circuit House,Jodhpur,342 006,"251 3333, 251 0410, 251 1410, 2510610, 2510766",reservations@ajitbhawan.com  reservations1@ajitbhawan.com  sales2@ajitbhawan.com  sales@ajitbhawan.com  delhisales@ajitbhawan.com  crs@ajitbhawan.com,www.ajitbhawan.com,,291,13,,WEB,
India,Rajasthan,Jodhpur,,,Ajit Bhawan,Near Circuit House,Jodhpur,342 006,"251 3333, 251 0410, 251 1410, 2510610, 2510766",reservations@ajitbhawan.com  reservations1@ajitbhawan.com  sales2@ajitbhawan.com  sales@ajitbhawan.com  delhisales@ajitbhawan.com  crs@ajitbhawan.com,www.ajitbhawan.com,,291,13,,RIK,
India,Rajasthan,Pushkar,Hotel Pushkar Palace - Booking Office,,Pushkar Palace,Chhoti Basti,Pushkar,305 022,"277 3001, 277 2401-03, 320 4223",info@pushkarpalace.com  hotelpushkarpalace@gmail.com  hotel_pushkar_palace@hotmail.com,www.hotelpushkarpalace.com,,145,13,,H,
India,Rajasthan,Pushkar,Hotel Pushkar Palace - Booking Office,,Pushkar Palace,Chhoti Basti,Pushkar,305 022,"277 3001, 277 2401-03, 320 4223",info@pushkarpalace.com  hotelpushkarpalace@gmail.com  hotel_pushkar_palace@hotmail.com,www.hotelpushkarpalace.com,,145,13,,HH,
India,Rajasthan,Pushkar,Hotel Pushkar Palace - Booking Office,,Pushkar Palace,Chhoti Basti,Pushkar,305 022,"277 3001, 277 2401-03, 320 4223",info@pushkarpalace.com  hotelpushkarpalace@gmail.com  hotel_pushkar_palace@hotmail.com,www.hotelpushkarpalace.com,,145,13,,ST,1
India,Rajasthan,Pushkar,Hotel Pushkar Palace - Booking Office,,Pushkar Palace,Chhoti Basti,Pushkar,305 022,"277 3001, 277 2401-03, 320 4223",info@pushkarpalace.com  hotelpushkarpalace@gmail.com  hotel_pushkar_palace@hotmail.com,www.hotelpushkarpalace.com,,145,13,,RIK,
India,Rajasthan,Pushkar,Hotel Pushkar Palace - Booking Office,,Pushkar Palace,Chhoti Basti,Pushkar,305 022,"277 3001, 277 2401-03, 320 4223",info@pushkarpalace.com  hotelpushkarpalace@gmail.com  hotel_pushkar_palace@hotmail.com,www.hotelpushkarpalace.com,,145,13,,WEB,
India,Uttarakhand,Rishikesh,,,Inderlok Hotel,Railway Road,Rishikesh,  ,"430 555, 430 556, 430 553",,,,135,13,,H,
India,Rajasthan,Sariska,The Sariska Palace ,,The Sariska Palace ,"Sariska,  Dist Alwar",Sariska,301 022,2841322/23/25,manager@thesariskapalace.in   info@thesariskapalace.in  ,http://www.thesariskapalace.in,,144,13,70734 74870,H,
India,Himachal Pradesh,Shimla,,,Chapslee House,Lakkar Bazaar,Shimla,171 001,"265 8663, 280 2542, 265 0921",chapslee@vsnl.com  chapsleesm@dataone.in  chapslee@sancharnet.in,www.chapslee.com,,177,13,,H,
India,Rajasthan,Udaipur,,,Hotel Hilltop Palace,"5, Ambavgarh   Fatehsagar",Udaipur,313 001,2432 245 - 7,hilltop@bppl.net.in,,,294,13,,H,
India,Uttar Pradesh,Varanasi,Colleague Tours Pvt. Ltd.,,Hotel Ideal Tower,The Mall   Cantonment  ,Varanasi,221 002,2503391-94,info@hotelidealtower.com   idealtower@yahoo.co.in   ,www.hotelidealtower.com,,542,13,,H,
India,Kerala,Kochi,,,Sealord Hotel,Shanmugham  Road ,Kochi,682 031,"2324169, 2382472, 73, 74",reservations@sealordhotels.com  sealord@asianetindia.com,sealordcochin.com,,484,13,,H,
India,Goa,Goa,,,Cavala Hotel,Saunta Vaddo  Baga Beach,Calangute,403 516,"227 6090, 2277587",cavala@sancharnet.in,,,832,13,,H,
India,Tamil Nadu,Chennai,,,Chandra Towers,"No.9,  Gandhi Irwin Road   Egmore",Chennai ,600 008,"825 8171(8 lines), 823 3344",,,,44,13,,H,
India,Tamil Nadu,Mamallapuram,Ideal Group of Resorts,,Ideal Beach Resort,East Coast Road,Mamallapuram,603 104,"27442240, 27442443",reservation@idealresort.com,www.idealresort.com,,44,13,,H,
India,Tamil Nadu,Mamallapuram,Ideal Group of Resorts,,Ideal Beach Resort,East Coast Road,Mamallapuram,603 104,"27442240, 27442443",reservation@idealresort.com,www.idealresort.com,,44,13,,ST,1
India,Tamil Nadu,Mamallapuram,Ideal Group of Resorts,,Ideal Beach Resort,East Coast Road,Mamallapuram,603 104,"27442240, 27442443",reservation@idealresort.com,www.idealresort.com,,44,13,,WEB,
India,Tamil Nadu,Mudumalai,,,Bamboo Banks Farm Guest House,P.O.Massinigudi  Nilgiris,Massinigudi,643 223,"56 222 , 56 211",,,,423,13,,H,
India,Karnataka,Mysore,,,Kings Court Hotel,Jhansi Lakshmibai Road  ,Mysore,570 005,421 142,kingskourt@vsnl.com,kingskourt.com,,821,13,,H,
India,Karnataka,Mysore,,,The Green Hotel,"Chittaranjan Palace  2270, Vinoba Road   Jayalakshmipuram",Mysore,570 012,"4255000, 4255001, 4255002",booking@greenhotelindia.com,www.greenhotelindia.com,,821,13,,H,
India,Tamil Nadu,Ootacamund,,,The Willow Hill,58/1 Havelock Road  ,Ooty,643 001,"2444037, 2444758",willow@willowhill.in,www.willowhill.in,,423,13,,H,
India,Kerala,Kollam,,,Sudarsan,Parmeshwar Nagar  ,Kollam,691 001,744 322,,,,474,13,,H,
India,Tamil Nadu,Thanjavur,Ideal Group of Resorts,,Ideal River View Resort,Vennar Bank  Palli Agraharam,Thanjavur,613 003,250533/633/833/933,riverview@idealresort.com  reservation@idealresort.com,www.idealresort.com,,4362,13,,H,
India,Tamil Nadu,Thanjavur,Ideal Group of Resorts,,Ideal River View Resort,Vennar Bank  Palli Agraharam,Thanjavur,613 003,250533/633/833/933,riverview@idealresort.com  reservation@idealresort.com,www.idealresort.com,,4362,13,,ST,2
India,Madhya Pradesh,Khajuraho,Agra Tours & Travels Pvt Ltd,,Khajuraho Ashok, ,Khajuraho,471 606,"44 024, 44 042, 44 361, 44 336",,,,7686,13,,H,
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,Hotel Castle Mandawa Pvt. Ltd.,Desert Resort,Shekhavati  Dist. Jhunjhunu  ,Mandawa,333 704,"223 151, 223 245, 223 514",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,H,
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,Hotel Castle Mandawa Pvt. Ltd.,Desert Resort,Shekhavati  Dist. Jhunjhunu  ,Mandawa,333 704,"223 151, 223 245, 223 514",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,ST,1
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,Hotel Castle Mandawa Pvt. Ltd.,Desert Resort,Shekhavati  Dist. Jhunjhunu  ,Mandawa,333 704,"223 151, 223 245, 223 514",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,WEB,
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,Hotel Castle Mandawa Pvt. Ltd.,Desert Resort,Shekhavati  Dist. Jhunjhunu  ,Mandawa,333 704,"223 151, 223 245, 223 514",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,RIK,
India,Uttarakhand,Nainital,,,Shervani Hilltop Inn,Shervani Lodge  Mallital  ,Nainital,263 001,"36 128, 37 418",reservations@shervanihotels.com,shervanihotels.com,,5942,13,,H,
India,Andaman & Nicobar,Port Blair,,,Peerless Resort,"No. 21,  Corbyn's Cove",Port Blair,744 101,33 460-5,,,,3192,13,,H,
India,Assam,Manas,Wild Grass,,Mathanguri Upper Bungalow,Manas National Park  ,Manas,  ,,,,,,13,,H,
India,Meghalaya,Shillong,,,Pinewood Ashok,European Ward,Shillong ,793 001,"223 116, 223 146",pwhotel@neline.com,,,364,13,,H,
India,Assam,Kaziranga,Wild Grass,,Wild Grass Resort,Kaziranga,Kaziranga,785 109,262085,wildgrasskaziranga@gmail.com,www.oldassam.com,,3776,13,,H,
India,Assam,Kaziranga,Wild Grass,,Wild Grass Resort,Kaziranga,Kaziranga,785 109,262085,wildgrasskaziranga@gmail.com,www.oldassam.com,,3776,13,,ST,1
India,Assam,Kaziranga,Wild Grass,,Wild Grass Resort,Kaziranga,Kaziranga,785 109,262085,wildgrasskaziranga@gmail.com,www.oldassam.com,,3776,13,,WEB,
India,Assam,Kaziranga,Wild Grass,,Wild Grass Resort,Kaziranga,Kaziranga,785 109,262085,wildgrasskaziranga@gmail.com,www.oldassam.com,,3776,13,,RIK,
India,Maharashtra,Aurangabad,,,President Park,R-7/2  Chikalthana  Airport Road,Aurangabad,431 210,486 201,,,,240,13,,H,
India,Maharashtra,Mumbai,,,West End Hotel,"45, New Marine Lines",Mumbai,400 020,"203 9121, 205 7484","west.hotel@gems.vsnl.net.in, westhotel@vsnl.com",,,22,13,,H,
India,Maharashtra,Mumbai,,,Airport Kohinoor,Andheri - Kurla Road  Andheri (East)  ,Mumbai,400 059,820 9999,,,,22,13,,H,
India,Rajasthan,Jaipur,,,Alsisar Haveli,Sansar Chandra Road,Jaipur,302 001,"236 8290, 236 4685, 510 7167, 510 7157",alsisar@alsisar.com  santosh@alsisar.com    ,"www.alsisarhaveli.com, www.alsisar.com",,141,13,,H,
India,Rajasthan,Jaipur,,,Alsisar Haveli,Sansar Chandra Road,Jaipur,302 001,"236 8290, 236 4685, 510 7167, 510 7157",alsisar@alsisar.com  santosh@alsisar.com    ,"www.alsisarhaveli.com, www.alsisar.com",,141,13,,HH,
India,Rajasthan,Jaipur,,,Alsisar Haveli,Sansar Chandra Road,Jaipur,302 001,"236 8290, 236 4685, 510 7167, 510 7157",alsisar@alsisar.com  santosh@alsisar.com    ,"www.alsisarhaveli.com, www.alsisar.com",,141,13,,COM,1
India,Rajasthan,Jaipur,,,Alsisar Haveli,Sansar Chandra Road,Jaipur,302 001,"236 8290, 236 4685, 510 7167, 510 7157",alsisar@alsisar.com  santosh@alsisar.com    ,"www.alsisarhaveli.com, www.alsisar.com",,141,13,,WEB,
India,Rajasthan,Jaipur,,,Alsisar Haveli,Sansar Chandra Road,Jaipur,302 001,"236 8290, 236 4685, 510 7167, 510 7157",alsisar@alsisar.com  santosh@alsisar.com    ,"www.alsisarhaveli.com, www.alsisar.com",,141,13,,RIK,
India,Rajasthan,Jaipur,,,Rambagh Palace ,Bhawani Singh Road,Jaipur,302 005,2211919,rambagh.jaipur@tajhotels.com  travelindustrysales@tajhotels.com,http://www.tajhotels.com/Luxury/Grand-Palaces-And-Iconic-Hotels/Rambagh-Palace-Jaipur,,141,13,,H,
India,Rajasthan,Jaipur,,,Rambagh Palace ,Bhawani Singh Road,Jaipur,302 005,2211919,rambagh.jaipur@tajhotels.com  travelindustrysales@tajhotels.com,http://www.tajhotels.com/Luxury/Grand-Palaces-And-Iconic-Hotels/Rambagh-Palace-Jaipur,,141,13,,HH,
India,Rajasthan,Jaipur,,,Rambagh Palace ,Bhawani Singh Road,Jaipur,302 005,2211919,rambagh.jaipur@tajhotels.com  travelindustrysales@tajhotels.com,http://www.tajhotels.com/Luxury/Grand-Palaces-And-Iconic-Hotels/Rambagh-Palace-Jaipur,,141,13,,WEB,
India,Rajasthan,Jaipur,,,Rambagh Palace ,Bhawani Singh Road,Jaipur,302 005,2211919,rambagh.jaipur@tajhotels.com  travelindustrysales@tajhotels.com,http://www.tajhotels.com/Luxury/Grand-Palaces-And-Iconic-Hotels/Rambagh-Palace-Jaipur,,141,13,,TL,1
India,Uttar Pradesh,Agra,Agra Tours & Travels Pvt Ltd,,Taj View Hotel,Fatehabad Road  Taj Ganj,Agra,282 001,2232 400 - 418,tajview.agra@tajhotels.com,,,562,13,,H,
India,Goa,Goa,,,Albuquerque Guest House,Sequeira Vaddo  Fort Aguada Road,Candolim,403 515,"227 6804, 227 6805",,,,832,13,,H,
India,Goa,Goa,,,Whispering Palms Beach Resort,Fort Agauda Road,Candolim,403 515,276 140-41,,,,832,13,,H,
India,Goa,Goa,,,Taj Holiday Village Resort & Spa,"Dando, Candolim",Goa,403 515,664 5858,,,,832,13,,H,
India,Goa,Goa,,,Taj Holiday Village Resort & Spa,"Dando, Candolim",Goa,403 515,664 5858,,,,832,13,,SH,4
India,Kerala,Kovalam,,,Bright Resorts,Ashoka Beach,Kovalam,695 527,"481 190, 481 192",,,,471,13,,H,
India,Kerala,Thekkady,Kerala Tourism Development Corporation Ltd,,Aranya Nivas,Periyar Wildlife Reserve  Idukki,Thekkady,685 536,"321930, 222023, 222283",aranyanivas@sancharnet.in,,,4869,13,,H,
India,Orissa,Joshipur,,,Forest Lodge, ,Joshipur,  ,,,,,,13,,H,
India,West Bengal,Kolkata,,,The Kenilworth Hotel,"1 & 2, Little Russel Street",Kolkata,700 071,"282 8394/95, 282 3403/04",nkhsales@cal3.vsnl.net.in,bestwesternkenilworth.com,,33,13,,H,
India,Orissa,Puri,Mayfair Hotels & Resorts,,Mayfair Heritage,Chakratirtha Road  ,Puri,752 002,22 7800,puri@mayfairhotels.com,www.mayfairhotels.com,,6752,13,,H,
India,Orissa,Puri,Mayfair Hotels & Resorts,,Mayfair Heritage,Chakratirtha Road  ,Puri,752 002,22 7800,puri@mayfairhotels.com,www.mayfairhotels.com,,6752,13,,COM,2
India,Orissa,Gopalpur-on-Sea,,,Mermaid Hotel,Distt Ganjam  ,Gopalpur-on-Sea,761 002,82 050,,,,6812,13,,H,
India,Orissa,Rayagada,,,Swagat Hotel, ,Rayagada,,,,,,,13,,H,
India,Orissa,Jeypore,,,Apsara Hotel,Bikram Nagar  Jeypore,Jeypore,,,,,,,13,,H,
India,Delhi,Delhi,,,The Imperial Hotel,Janpath,Delhi,110 001,"2334 1234, 2334 5678",parora@theimperialindia.com  receivables@theimperialindia.com  sbhardwaj@theimperialindia.com,www.theimperialindia.com,,11,13,,H,
India,Delhi,Delhi,,,The Imperial Hotel,Janpath,Delhi,110 001,"2334 1234, 2334 5678",parora@theimperialindia.com  receivables@theimperialindia.com  sbhardwaj@theimperialindia.com,www.theimperialindia.com,,11,13,,HH,
India,Delhi,Delhi,,,The Imperial Hotel,Janpath,Delhi,110 001,"2334 1234, 2334 5678",parora@theimperialindia.com  receivables@theimperialindia.com  sbhardwaj@theimperialindia.com,www.theimperialindia.com,,11,13,,TL,1
India,Delhi,Delhi,,,The Imperial Hotel,Janpath,Delhi,110 001,"2334 1234, 2334 5678",parora@theimperialindia.com  receivables@theimperialindia.com  sbhardwaj@theimperialindia.com,www.theimperialindia.com,,11,13,,WEB,
India,Delhi,Delhi,,,The Imperial Hotel,Janpath,Delhi,110 001,"2334 1234, 2334 5678",parora@theimperialindia.com  receivables@theimperialindia.com  sbhardwaj@theimperialindia.com,www.theimperialindia.com,,11,13,,RIK,
India,Rajasthan,Udaipur,,,Taj Lake Palace,Pichola Lake  P.O.Box 5,Udaipur,313 001,2428800,lake.palace.udaipur@tajhotels.com  itd.bom@tajhotels.com,www.tajhotels.com/tajlakepalace,,294,13,,H,
India,Rajasthan,Udaipur,,,Taj Lake Palace,Pichola Lake  P.O.Box 5,Udaipur,313 001,2428800,lake.palace.udaipur@tajhotels.com  itd.bom@tajhotels.com,www.tajhotels.com/tajlakepalace,,294,13,,HH,
India,Rajasthan,Udaipur,,,Taj Lake Palace,Pichola Lake  P.O.Box 5,Udaipur,313 001,2428800,lake.palace.udaipur@tajhotels.com  itd.bom@tajhotels.com,www.tajhotels.com/tajlakepalace,,294,13,,TL,1
India,Rajasthan,Udaipur,,,Taj Lake Palace,Pichola Lake  P.O.Box 5,Udaipur,313 001,2428800,lake.palace.udaipur@tajhotels.com  itd.bom@tajhotels.com,www.tajhotels.com/tajlakepalace,,294,13,,WEB,
India,Rajasthan,Jodhpur,,,Umaid Bhawan Palace, ,Jodhpur,342 006,2510101,,http://www.tajhotels.com/Luxury/Grand-Palaces-And-Iconic-Hotels/Umaid-Bhawan-Palace-Jodhpur,,291,13,,H,
India,Rajasthan,Jodhpur,,,Umaid Bhawan Palace, ,Jodhpur,342 006,2510101,,http://www.tajhotels.com/Luxury/Grand-Palaces-And-Iconic-Hotels/Umaid-Bhawan-Palace-Jodhpur,,291,13,,TL,1
India,Rajasthan,Jodhpur,,,Umaid Bhawan Palace, ,Jodhpur,342 006,2510101,,http://www.tajhotels.com/Luxury/Grand-Palaces-And-Iconic-Hotels/Umaid-Bhawan-Palace-Jodhpur,,291,13,,WEB,
India,Rajasthan,Jaisalmer,,,Gorbandh Palace Hotel,No.1 Tourist Complex  Sam Road,Jaisalmer,345 001,251 511 - 13,,www.hrhindia.com,,2992,13,,H,
India,Gujarat,Bhuj,Garha Tours & Travels,,The Kutch Safari Lodge,Rudra Mata Dam  Distr. Bhuj  Kutch,Bhuj,  ,20 894,kutchsafarilodge@gmail.com,,,2832,13,,H,
India,Gujarat,Ahmedabad,,,Klassic Gold,"42, Sardar Patel Nagar  behind NavarangapuraTelephone Exchange  Narangapura",Ahmedabad,380 006,"644 5508, 644 5578, 644 5581, 644 5594",,,,79,13,,H,
India,Tamil Nadu,Madurai,,,Hotel Supreme,"110, West Perumal Maistry Street  ",Madurai,625 001,"2343 151- 4, 5372 555",hsupreme@sancharnet.in,supremehotels.com,,452,13,,H,
India,Rajasthan,Jaisalmer,,,Royal Desert Safaries Pvt. Ltd.,Nachna Haveli  Gandhi Chowk,Jaisalmer,345 001,"252 538, 251 402",rsafari@sancharnet.in,,,2992,13,,H,
India,Goa,Goa,,,Aldeia Santa Rita,Fort Aguada Road    ,Sinquerim,,2276 868,,,,832,13,,H,
India,Gujarat,Wankaner,,,Ranjit Vilas Palace,,Wankaner,363 621,20 000,,,,2828,13,,H,
India,Gujarat,Sasangir,,,Maneland Jungle Lodge,Gir Lion Sanctuary & National Park  Distr. Junagadh,Sasangir,362 135,"285555, 285690 / 91",booking@maneland.com,,,2877,13,,H,
India,Gujarat,Dasada,North West Safaries,,Desert Coursers,Camp Zainabad  via Patdi,Dasada,382 765,250 18/35,zainabad@hotmail.com,www.desertcoursers.net,,2757,13,,H,
India,Rajasthan,Jodhpur,,,Durjan Niwas Hotel,Daspan Vihar  Old Loco Shed Road  Ratanada,Jodhpur,342 001,"2616 992, 2616 994, 2649 546",,,,291,13,,H,
India,Sikkim,Gangtok,Clubside Tours & Travels Pvt Ltd,,Tashi Delek,Mahatma Gandhi Marg,Gangtok,737 101,"220 2991, 220 2038, 220 4156-8",tashidelek@wbbs.com,www.hoteltashidelek.com,,3592,13,,H,
India,Rajasthan,Jodhpur,,,Karni Bhawan,Palace Road  Ratanada,Jodhpur,342 006,2512101-04,karnihotels@satyam.net.in  vsodawas@sify.com,www.karnihotels.com,,291,13,,H,
India,Uttarakhand,Rishikesh,,,Ganga Kinare,16 Veerbhadra Road,Rishikesh,249 201,430 566,,,,135,13,,H,
India,Goa,Goa,,,La Paz Gardens,"Swatantra Path,",Vasco-da -gama,403 802,"2512 121, 2512 126",lapaz@bsnl.in,,,832,13,,H,
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,,Castle Mandawa,Jhunjhunu District  Shekhavati,Mandawa,333 704,"223 124, 223 432, 223 480-83",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,H,
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,,Castle Mandawa,Jhunjhunu District  Shekhavati,Mandawa,333 704,"223 124, 223 432, 223 480-83",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,HH,
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,,Castle Mandawa,Jhunjhunu District  Shekhavati,Mandawa,333 704,"223 124, 223 432, 223 480-83",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,COM,1
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,,Castle Mandawa,Jhunjhunu District  Shekhavati,Mandawa,333 704,"223 124, 223 432, 223 480-83",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,WEB,
India,Rajasthan,Mandawa,Hotel Castle Mandawa Pvt. Ltd.,,Castle Mandawa,Jhunjhunu District  Shekhavati,Mandawa,333 704,"223 124, 223 432, 223 480-83",reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,,1592,13,,RIK,
India,Rajasthan,Samode,Samode Hotels,,Samode Palace,Dist. Jaipur,Samode,303 806,"240 014, 240 023",reservations@samode.com,www.samode.com,,1423,13,,H,
India,Rajasthan,Samode,Samode Hotels,,Samode Palace,Dist. Jaipur,Samode,303 806,"240 014, 240 023",reservations@samode.com,www.samode.com,,1423,13,,HH,
India,Rajasthan,Samode,Samode Hotels,,Samode Palace,Dist. Jaipur,Samode,303 806,"240 014, 240 023",reservations@samode.com,www.samode.com,,1423,13,,SH,1
India,Rajasthan,Samode,Samode Hotels,,Samode Palace,Dist. Jaipur,Samode,303 806,"240 014, 240 023",reservations@samode.com,www.samode.com,,1423,13,,RIK,
India,Rajasthan,Samode,Samode Hotels,,Samode Palace,Dist. Jaipur,Samode,303 806,"240 014, 240 023",reservations@samode.com,www.samode.com,,1423,13,,WEB,
India,Kerala,Alleppey,,,Alleppey Prince Hotel,A.S. Road (NH47)  ,Allapuzha ,688 007,243 752- to 243 757,princehotel@satyam.net.in,alleppeyprincehotel.com,,477,13,,H,
India,Kerala,Kumarakom,Travelcart India Pvt Ltd,,Coconut Lagoon,Kottayam District  ,Kumarakom,686 563,"252 5834, 252 5835",coconutlagoon@cghearth.com,www.cghearth.com,,481,13,,H,
India,Kerala,Kumarakom,Travelcart India Pvt Ltd,,Coconut Lagoon,Kottayam District  ,Kumarakom,686 563,"252 5834, 252 5835",coconutlagoon@cghearth.com,www.cghearth.com,,481,13,,SH,1
India,Kerala,Kumarakom,Travelcart India Pvt Ltd,,Coconut Lagoon,Kottayam District  ,Kumarakom,686 563,"252 5834, 252 5835",coconutlagoon@cghearth.com,www.cghearth.com,,481,13,,WEB,
India,Uttarakhand,Mussoorie,,,Savoy Hotel,The Mall,Mussoorie,248 179,"632 120, 632 010",,,,135,13,,H,
India,Rajasthan,Udaipur,,,Jagat Niwas Palace Hotel,23-25 Lal Ghat,Udaipur,313 001,"242 0133, 242 2860",mail@jagatniwaspalace.com,www.jagatniwaspalace.com,,294,13,,H,
India,Rajasthan,Udaipur,,,Jagat Niwas Palace Hotel,23-25 Lal Ghat,Udaipur,313 001,"242 0133, 242 2860",mail@jagatniwaspalace.com,www.jagatniwaspalace.com,,294,13,,HH,
India,Rajasthan,Udaipur,,,Jagat Niwas Palace Hotel,23-25 Lal Ghat,Udaipur,313 001,"242 0133, 242 2860",mail@jagatniwaspalace.com,www.jagatniwaspalace.com,,294,13,,COM,1
India,Rajasthan,Udaipur,,,Jagat Niwas Palace Hotel,23-25 Lal Ghat,Udaipur,313 001,"242 0133, 242 2860",mail@jagatniwaspalace.com,www.jagatniwaspalace.com,,294,13,,WEB,
India,Rajasthan,Udaipur,,,Jagat Niwas Palace Hotel,23-25 Lal Ghat,Udaipur,313 001,"242 0133, 242 2860",mail@jagatniwaspalace.com,www.jagatniwaspalace.com,,294,13,,RIK,
