state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesothers_id,costservices_id,frompax,topax,costperperson,costpergroup,remarks,tourleaderfree,currencies_id,resident,tourleader,SpecialGst,nett
Gujarat,Sasangir,Indo West Tours,Jeep safari in Sasangir National Park,6907,2924,302,2019-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,,,368,,3493,6907,9,12,0,36000,Three jeeps,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Morning and afternoon jeep safaris in Sasangir National Park,6908,2924,1047,2019-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,0,0,368,,3494,6908,1,4,0,24000,One jeep,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Morning and afternoon jeep safaris in Sasangir National Park,6908,2924,1047,2019-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,0,0,368,,3495,6908,5,8,0,48000,Two jeeps,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Morning and afternoon jeep safaris in Sasangir National Park,6908,2924,1047,2019-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,0,0,368,,3496,6908,9,12,0,72000,Three jeeps,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Jeep safari in Sasangir National Park,7444,2924,302,2020-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,,,368,,3941,7444,1,4,0,12000,One jeep,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Jeep safari in Sasangir National Park,7444,2924,302,2020-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,,,368,,3942,7444,5,8,0,24000,Two jeeps,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Jeep safari in Sasangir National Park,7444,2924,302,2020-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,,,368,,3943,7444,9,12,0,36000,Three jeeps,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Morning and afternoon jeep safaris in Sasangir National Park,7445,2924,1047,2020-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,0,0,368,,3944,7445,1,4,0,24000,One jeep,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Morning and afternoon jeep safaris in Sasangir National Park,7445,2924,1047,2020-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,0,0,368,,3945,7445,5,8,0,48000,Two jeeps,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Morning and afternoon jeep safaris in Sasangir National Park,7445,2924,1047,2020-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,0,0,368,,3946,7445,9,12,0,72000,Three jeeps,0,13,4,0,5,0
Gujarat,Velavadar,Indo West Tours,Jeep safari in Velavadar National Park,7062,2924,1033,2019-10-01T00:00:00,Entrance fees for a jeep are actually lower on weekdays than on weekends. We have taken the higher amount for our costing.  The park is open throughout the year but mid-June to March is best time to visit.   For bird watchers winter months of December to March are the best time to visit when many migratory birds arrive to spend the winters here.   ,,,,,440,,3568,7062,1,2,0,6250,2500 jeep + 3750 entrance fee for jeep,0,13,4,0,18,0
Gujarat,Velavadar,Indo West Tours,Jeep safari in Velavadar National Park,7062,2924,1033,2019-10-01T00:00:00,Entrance fees for a jeep are actually lower on weekdays than on weekends. We have taken the higher amount for our costing.  The park is open throughout the year but mid-June to March is best time to visit.   For bird watchers winter months of December to March are the best time to visit when many migratory birds arrive to spend the winters here.   ,,,,,440,,3569,7062,3,6,0,7250,3500 jeep + 3750 entrance fee for jeep,0,13,4,0,18,0
Gujarat,Velavadar,Indo West Tours,Jeep safari in Velavadar National Park,7062,2924,1033,2019-10-01T00:00:00,Entrance fees for a jeep are actually lower on weekdays than on weekends. We have taken the higher amount for our costing.  The park is open throughout the year but mid-June to March is best time to visit.   For bird watchers winter months of December to March are the best time to visit when many migratory birds arrive to spend the winters here.   ,,,,,440,,3570,7062,7,8,0,13875,4500 jeep + 9375 entrance fee for jeep,0,13,4,0,18,0
Gujarat,Velavadar,Indo West Tours,Jeep safari in Velavadar National Park,7062,2924,1033,2019-10-01T00:00:00,Entrance fees for a jeep are actually lower on weekdays than on weekends. We have taken the higher amount for our costing.  The park is open throughout the year but mid-June to March is best time to visit.   For bird watchers winter months of December to March are the best time to visit when many migratory birds arrive to spend the winters here.   ,,,,,440,,3933,7062,9,10,0,14500,7000 2 jeeps + 7500 entrance fee 2 jeeps,0,13,4,0,18,0
Gujarat,Velavadar,Indo West Tours,Jeep safari in Velavadar National Park,7062,2924,1033,2019-10-01T00:00:00,Entrance fees for a jeep are actually lower on weekdays than on weekends. We have taken the higher amount for our costing.  The park is open throughout the year but mid-June to March is best time to visit.   For bird watchers winter months of December to March are the best time to visit when many migratory birds arrive to spend the winters here.   ,,,,,440,,3934,7062,1,10,450,1500,Entrance fee per person + guide cost,0,13,4,0,,0
Gujarat,Velavadar,Indo West Tours,Safari in own vehicle in Velavadar N.P.,7343,2924,1247,2019-10-01T00:00:00,,,,0,0,440,,3762,7343,1,10,420,0,USD 6 p.p. entrance fee,0,13,4,0,5,0
Gujarat,Velavadar,Indo West Tours,Safari in own vehicle in Velavadar N.P.,7343,2924,1247,2019-10-01T00:00:00,,,,0,0,440,,3763,7343,1,10,,700,USD 10 for the guide,0,13,4,0,5,0
Gujarat,Velavadar,Indo West Tours,Safari in own vehicle in Velavadar N.P.,7343,2924,1247,2019-10-01T00:00:00,,,,0,0,440,,3764,7343,1,3,0,3500,USD 50 entrance fee for the car,0,13,4,0,5,0
Gujarat,Velavadar,Indo West Tours,Safari in own vehicle in Velavadar N.P.,7343,2924,1247,2019-10-01T00:00:00,,,,0,0,440,,3765,7343,4,7,0,7000,USD 100 entrance fee for 2 cars,0,13,4,0,5,0
Gujarat,Velavadar,Indo West Tours,Safari in own vehicle in Velavadar N.P.,7343,2924,1247,2019-10-01T00:00:00,,,,0,0,440,,3766,7343,8,10,0,10500,USD 150 entrance fee for 3 cars,0,13,4,0,5,0
Gujarat,Dasada,Rann Riders,Early morning wildlife safari in the Little Rann of Kutch,7361,2256,929,2019-10-01T00:00:00,"The park is open all year; October to March is the best time to visit  For birders: November to February, when it is cooler and migratory birds arrive in the thousands  ",,0,0,0,486,1180,3797,7361,1,6,0,7000,"Rs 3,500/- for safari + Rs 3500/- for jeep entrance fee",0,13,4,0,5,0
Gujarat,Dasada,Rann Riders,Early morning wildlife safari in the Little Rann of Kutch,7361,2256,929,2019-10-01T00:00:00,"The park is open all year; October to March is the best time to visit  For birders: November to February, when it is cooler and migratory birds arrive in the thousands  ",,0,0,0,486,1180,3798,7361,7,12,0,14000,,0,13,4,0,5,0
Gujarat,Dasada,Indo West Tours,Afternoon bird-watching trip,7441,2924,930,2020-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the extra cost is Rs 3,000/- entrance fee per jeep. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,,,486,,3937,7441,1,6,0,3500,Entrance fee for jeep,0,13,4,0,5,0
Gujarat,Dasada,Indo West Tours,Afternoon bird-watching trip,7441,2924,930,2020-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the extra cost is Rs 3,000/- entrance fee per jeep. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,,,486,,3938,7441,7,12,0,7000,,0,13,4,0,5,0
Gujarat,Dasada,Indo West Tours,Early morning wildlife safari in the Little Rann of Kutch,7442,2924,929,2020-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the entrance fee of the jeep is extra. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,0,0,486,,3939,7442,1,6,0,3500,Entrance fee for jeep,0,13,4,0,5,0
Gujarat,Dasada,Indo West Tours,Early morning wildlife safari in the Little Rann of Kutch,7442,2924,929,2020-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the entrance fee of the jeep is extra. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,0,0,486,,3940,7442,7,12,0,7000,Entrance fee for two jeeps,0,13,4,0,5,0
Gujarat,Ahmedabad,Indo West Tours,Early morning heritage walk from House of MG,7056,2924,1135,2019-10-01T00:00:00,,,,0,0,12,,3562,7056,1,10,350,0,,0,13,4,0,5,0
Gujarat,Palitana,Indo West Tours,Early morning hike to the Palitana temples,7058,2924,931,2019-10-01T00:00:00,,,,,,320,,3563,7058,1,10,200,0,For keeping shoes to people sitting outside the temple,0,13,4,0,5,0
Gujarat,Dasada,Indo West Tours,Afternoon bird-watching trip,7059,2924,930,2019-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the extra cost is Rs 3,000/- entrance fee per jeep. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,,,486,,3564,7059,1,6,0,3500,Entrance fee for jeep,0,13,4,0,5,0
Gujarat,Dasada,Indo West Tours,Afternoon bird-watching trip,7059,2924,930,2019-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the extra cost is Rs 3,000/- entrance fee per jeep. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,,,486,,3565,7059,7,12,0,7000,,0,13,4,0,5,0
Gujarat,Dasada,Indo West Tours,Early morning wildlife safari in the Little Rann of Kutch,7060,2924,929,2019-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the entrance fee of the jeep is extra. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,0,0,486,,3566,7060,1,6,0,3500,Entrance fee for jeep,0,13,4,0,5,0
Gujarat,Dasada,Indo West Tours,Early morning wildlife safari in the Little Rann of Kutch,7060,2924,929,2019-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the entrance fee of the jeep is extra. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,0,0,486,,3567,7060,7,12,0,7000,Entrance fee for two jeeps,0,13,4,0,5,0
Gujarat,Ahmedabad,Indo West Tours,Early morning heritage walk,7055,2924,1050,2019-10-01T00:00:00,,,,0,0,12,,3561,7055,1,10,200,0,,0,13,4,0,5,0
Himachal Pradesh,Dharamsala,Summit Adventures,Toy train Kangra to Palampur,7431,2144,1255,2019-10-01T00:00:00,,,,0,0,112,,3928,7431,1,10,100,0,Toy train ticket,0,13,4,0,,0
Himachal Pradesh,Pragpur,Summit Adventures,Kangra-Palampur toy train,7539,2144,1328,2019-10-01T00:00:00,,,,,,341,,3964,7539,1,10,100,0,Train ticket,0,13,4,0,,0
Himachal Pradesh,Dharamsala,Summit Adventures,Early morning yoga class,6961,2144,1121,2019-10-01T00:00:00,For one day(few hours class) we use Mahi Yoga Centre (Run by Mr. Mahinder). Mahi Centre has now a proper Yoga Hall in Bhagsu Nag village(1.5 kms  from Mcleod Ganj).  Mahi Yoga Centres is open for classes from April to October every year.           ,,,0,0,112,,3515,6961,1,10,800,,Yoga class,0,13,4,0,18,0
Himachal Pradesh,Dharamsala,Summit Adventures,Early morning yoga class,6961,2144,1121,2019-10-01T00:00:00,For one day(few hours class) we use Mahi Yoga Centre (Run by Mr. Mahinder). Mahi Centre has now a proper Yoga Hall in Bhagsu Nag village(1.5 kms  from Mcleod Ganj).  Mahi Yoga Centres is open for classes from April to October every year.           ,,,0,0,112,,3516,6961,1,10,,500,Rep,0,13,4,0,18,0
Himachal Pradesh,Dharamsala,Summit Adventures,Trek to Himalayan Gaddi Kingdom,6954,2144,1112,2019-10-01T00:00:00,,,0,0,0,112,903,3511,6954,2,2,20000,0,,0,13,4,0,5,0
Himachal Pradesh,Dharamsala,Summit Adventures,Trek to Himalayan Gaddi Kingdom,6954,2144,1112,2019-10-01T00:00:00,,,0,0,0,112,903,3512,6954,3,4,19000,0,,0,13,4,0,5,0
Himachal Pradesh,Dharamsala,Summit Adventures,Trek to Himalayan Gaddi Kingdom,6954,2144,1112,2019-10-01T00:00:00,,,0,0,0,112,903,3513,6954,5,7,18000,0,,0,13,4,0,5,0
Himachal Pradesh,Dharamsala,Summit Adventures,Trek to Himalayan Gaddi Kingdom,6954,2144,1112,2019-10-01T00:00:00,,,0,0,0,112,903,3514,6954,8,10,17000,0,,0,13,4,0,5,0
Karnataka,Nagarhole,The Bison,Safari in Nagarhole National Park,7549,3064,965,2020-10-01T00:00:00,"Nagarhole National Park remains open throughout the year.   From November to February, sightings are good and the weather is pleasant.  July to September are the monsoon months when sightings are low and safaris are often washed out.  ",,,,,295,,3974,7549,1,10,2050,0,,0,13,4,0,,1
Karnataka,Nagarhole,The Bison,Morning and afternoon safaris in Nagarhole National Park,7550,3064,1335,2020-10-01T00:00:00,"Nagarhole National Park remains open throughout the year.   From November to February, sightings are good and the weather is pleasant.  July to September are the monsoon months when sightings are low and safaris are often washed out.  ",,,0,0,295,,3975,7550,1,10,4100,0,,0,13,4,0,,0
Karnataka,Nagarhole,"Evolve Back Kuruba Safari Lodge, Kabini",Safari in Nagarhole National Park,7433,2431,965,2020-10-01T00:00:00,"08 seater jeeps available for dates between July 2020 to March 2021; Rs. 2400/- per safari per head for children between 02-11 years. Children below 02 are not permitted on safaris.  Nagarhole National Park remains open throughout the year.   From November to February, sightings are good and the weather is pleasant. July to September are the monsoon months when sightings are low and safaris are often washed out.  ",,0,0,0,295,1256,3930,7433,1,15,2900,0,Jeep ride,0,13,4,0,,1
Karnataka,Nagarhole,"Evolve Back Kuruba Safari Lodge, Kabini",Boat safari,7434,2431,1173,2020-10-01T00:00:00,"Kabini, Boat Safaris (18 Seater)  Rs.1800/- per safari per head for a child between 02-11 years.  Children below 02 are not permitted on safaris.",,,0,0,295,,3931,7434,1,15,2200,0,,0,13,4,0,,1
Karnataka,Nagarhole,"Evolve Back Kuruba Safari Lodge, Kabini",Canter safari (16-seater),7436,2431,1256,2020-10-01T00:00:00,Rs.1800/- per safari per head for a child between 02-11 years.  Children below 02 are not permitted on safaris.  ,,,0,0,295,,3932,7436,1,16,2200,0,,0,13,4,0,,0
Karnataka,Nagarhole,"Evolve Back Kuruba Safari Lodge, Kabini",Safari in Nagarhole National Park,7365,2431,965,2019-10-01T00:00:00,,,0,0,0,295,1256,3801,7365,1,15,2900,0,Jeep ride,0,13,4,0,,1
Karnataka,Nagarhole,"Evolve Back Kuruba Safari Lodge, Kabini",Boat safari,7366,2431,1173,2019-10-01T00:00:00,"Kabini, Boat Safaris (18 Seater)",,,0,0,295,,3802,7366,1,15,2000,0,,0,13,4,0,,1
Karnataka,Nagarhole,"Evolve Back Kuruba Safari Lodge, Kabini",Canter safari (16-seater),7432,2431,1256,2019-10-01T00:00:00,Rs.1800/- per safari per head for a child between 02-11 years.  Children below 02 are not permitted on safaris.  ,,,0,0,295,,3929,7432,1,16,2200,0,,0,13,4,0,,0
Karnataka,Nagarhole,The Bison,Safari in Nagarhole National Park,7396,3064,965,2020-01-01T00:00:00,"Nagarhole National Park remains open throughout the year.   From November to February, sightings are good and the weather is pleasant.  July to September are the monsoon months when sightings are low and safaris are often washed out.  ",,,,,295,,3869,7396,1,10,2050,0,,0,13,4,0,,1
Karnataka,Nagarhole,The Bison,Morning and afternoon safaris in Nagarhole National Park,7548,3064,1335,2020-01-01T00:00:00,"Nagarhole National Park remains open throughout the year.   From November to February, sightings are good and the weather is pleasant.  July to September are the monsoon months when sightings are low and safaris are often washed out.  ",,,0,0,295,,3973,7548,1,10,4100,0,,0,13,4,0,,0
Karnataka,Nagarhole,The Bison,Safari in Nagarhole National Park,7181,3064,965,2019-10-01T00:00:00,"The size of vehicle depends on the number of people going on safari. This can vary from a smaller 8 seater vehicle to a larger 16 seater.  Children below five (5) are not allowed on the jeep safari as per our company policy, they are however allowed on the boat safari and bookings for them can be made at the resort directly.",,,,,295,,3636,7181,1,10,1850,0,,0,13,4,0,,1
Kerala,Kochi,Travelcart India Pvt Ltd,Evening Kathakali dance performance,7311,2300,255,2019-10-01T00:00:00,,,0,0,0,87,1088,3738,7311,1,15,600,0,Kathakali dance,0,13,4,0,5,0
Kerala,Kochi,Travelcart India Pvt Ltd,Cochin harbour cruise (3 hrs),7312,2300,1019,2019-10-01T00:00:00,,,,0,0,87,,3739,7312,1,10,0,7000,,0,13,4,0,18,0
Kerala,Kochi,Travelcart India Pvt Ltd,Cochin harbour cruise (3 hrs),7312,2300,1019,2019-10-01T00:00:00,,,,0,0,87,,3740,7312,11,20,0,8000,,0,13,4,0,18,0
Kerala,Kochi,Travelcart India Pvt Ltd,Sunset cruise in Cochin,7313,2300,1020,2019-10-01T00:00:00,,,,0,0,87,,3741,7313,1,10,0,4950,,0,13,4,0,18,0
Kerala,Kochi,Travelcart India Pvt Ltd,Sunset cruise in Cochin,7313,2300,1020,2019-10-01T00:00:00,,,,0,0,87,,3742,7313,11,20,0,6650,,0,13,4,0,18,0
Kerala,Thrissur,Travelcart India Pvt Ltd,Visit to a Kalamandalam - a performing arts centre,7337,2300,1176,2019-10-01T00:00:00,"Note: The Kerala Kalamandalam is functional on all weekdays except Saturdays and Sundays, Regional holidays, National holidays, Public holidays, Strikes or Hartals. The Kerala Kalamandalam will also be closed for examinations and summer holidays from the end of March and the tour will not be available during the vacation period. Bookings will reopen from the month of June. The school will also be closed for 10 days during Onam holidays and 10 days in December for the Christmas holidays.",,,0,0,402,,3759,7337,1,15,2000,0,,0,13,4,0,5,0
Kerala,Thattekad,The Hornbill Camp,Bird-watching trip from Hornbill Camp,7364,2982,1164,2019-10-01T00:00:00,,,,0,0,621,,3800,7364,1,10,1300,0,,0,13,4,0,,1
Kerala,Thekkady,Travelcart India Pvt Ltd,Boat trip on Periyar lake,7331,2300,224,2019-10-01T00:00:00,,,,0,0,396,,3753,7331,1,10,1900,0,including Sanctuary entrance fees,0,13,4,0,5,0
Kerala,Thekkady,Travelcart India Pvt Ltd,Nature walk in Periyar Wildlife Sanctuary,7332,2300,777,2019-10-01T00:00:00,Children below 13 years are not allowed to participate in the above programme,,,0,0,396,,3754,7332,1,10,2100,0,including Sanctuary entrance fees,0,13,4,0,5,0
Kerala,Thekkady,Travelcart India Pvt Ltd,Spice plantation visit,7333,2300,924,2019-10-01T00:00:00,,,,0,0,396,,3755,7333,1,5,0,2025,,0,13,4,0,5,0
Kerala,Thekkady,Travelcart India Pvt Ltd,Spice plantation visit,7333,2300,924,2019-10-01T00:00:00,,,,0,0,396,,3756,7333,6,15,350,0,,0,13,4,0,5,0
Kerala,Thekkady,Travelcart India Pvt Ltd,Bullock cart ride and village tour,7334,2300,1191,2019-10-01T00:00:00,"Bullock Cart Ride with a guide which comprises of a Bird Watching Tour, Village Tour and an Agricultural Tour.  Duration of the ride would be 2 hrs. Maximum: 04 pax in 01 bullock cart  (Presently, there are 02 such bullock carts available)    ",,,0,0,396,,3757,7334,1,2,0,3000,,0,13,4,0,5,0
Kerala,Thekkady,Travelcart India Pvt Ltd,Bullock cart ride and village tour,7334,2300,1191,2019-10-01T00:00:00,"Bullock Cart Ride with a guide which comprises of a Bird Watching Tour, Village Tour and an Agricultural Tour.  Duration of the ride would be 2 hrs. Maximum: 04 pax in 01 bullock cart  (Presently, there are 02 such bullock carts available)    ",,,0,0,396,,3758,7334,3,10,1000,,,0,13,4,0,5,0
Kerala,Thekkady,Travelcart India Pvt Ltd,Full-day trekking and bamboo rafting in Periyar Tiger Reserve,7330,2300,923,2019-10-01T00:00:00,Sanctuary Entrance Fees included. (Minimum 02 pax - Maximum 15 pax only)  Packed lunch included.  Children below 13 years are not allowed to participate in the above programme,,,0,0,396,,3752,7330,2,10,4700,0,,0,13,4,0,5,0
Ladakh,Leh,Rimo Expeditions,Rafting on the Indus (including lunch),7022,199,525,2019-10-01T00:00:00,,,,0,0,169,,3554,7022,1,15,1760,0,,0,13,4,0,5,0
Ladakh,Tso Kar,Rimo Expeditions,Visit Tsokar lake,7580,199,1248,2020-10-01T00:00:00,,,,,,641,,3985,7580,1,10,550,0,Permit,0,13,4,0,,0
Ladakh,Tso Moriri,Rimo Expeditions,Visit Tso Moriri lake,7581,199,1146,2020-10-01T00:00:00,,,,,,619,,3986,7581,1,15,550,0,Permit,0,13,4,0,5,0
